"Country","Alcoholic Beverages","Animal fats","Animal Products","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar & Sweeteners","Sugar Crops","Treenuts","Vegetable Oils","Vegetables","Vegetal Products","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Burkina Faso",15.3706,0.0231,4.6611,0,21.2005,0.2406,0.7077,0.6596,1.2029,2.3195,0.1373,0.1664,1.8664,1.4294,0.0321,0.9723,0.0211,1.1287,0,0.0712,0.9503,1.5036,45.3359,4.5,"20",0.0030953201121992,0.00020176172432459,0.0020914325082427,0.000802125879631908,20321000,"%"
"Cabo Verde",3.9814,0.0363,9.7559,0.0029,14.7961,0.4602,1.0598,4.6402,3.0725,5.0192,1.119,0.105,0.5394,1.139,0.2731,3.843,0.1671,2.1396,0,0.0258,0.9471,6.6338,40.2437,10.6,"12.6",0.016,0.000181818181818182,0.000181818181818182,0.0156363636363636,550000,"%"
"Cambodia",4.5783,0.0377,6.08,0,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,0.4853,0.1211,0.79,0.4903,0.0784,3.0519,0.126,2.9923,0.8367,0.0238,0.2511,3.0072,43.9195,3.5,"16.4",0.000739976951537575,0,0.000709650027294232,3.03269242433432e-05,16487000,"%"
"Cameroon",5.156,0.0146,2.933,0,10.3112,0.0256,1.3206,7.2151,0.876,0.6289,0.0717,0.0673,0.8658,1.4734,0.283,11.3883,0.0234,0.6479,0,0.1324,0.6398,8.859,47.067,9.5,"9.9",0.0055263564693152,0.000166177152573814,0.00258154274230948,0.00277863657443191,25876000,"%"
"Canada",4.8441,0.8084,16.0365,0.006,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,0.6071,0.0097,0.4334,0.6304,0.0574,3.494,0.4053,5.0237,0,0.1439,1.3441,5.4961,33.9551,31.3,"<2.5",0.117755860262476,0.00637746237938684,0.0404912730868949,0.0708871247961938,37413000,"%"
"Central African Republic",1.7435,0.1228,6.9032,0,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.0614,0.4338,0.697,0.8936,0.0031,27.7128,0.2008,0.7022,0,0,0.724,1.9214,43.0942,6.3,"59.6",0.000337197049525817,0,0.000210748155953635,0.000126448893572181,4745000,"%"
"Chad",0.8297,0.2023,12.2804,0,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,0.064,1.2256,3.0304,1.4133,0,6.991,0.0087,1.3449,0,0,0.4556,0.9141,37.7189,4.8,"37.5",0.000244648318042813,0,4.89296636085627e-05,0.000195718654434251,16350000,"%"
"Chile",4.969,0.1782,15.0394,0.0155,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,0.3024,0.0525,0.2588,0.2677,0.0133,4.7183,0.1353,3.5582,0,0.119,0.5435,5.3092,34.9584,28.8,"2.7",0.0644057151829173,0.000910661014287957,0.0331135186057466,0.0303815355628827,19107000,"%"
"China",2.3224,0.0866,13.424,0.0542,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,1.3773,0.8643,0.4401,0.0704,0.0364,1.9016,0.1781,3.1065,0.0253,0.2665,0.579,13.099,36.5744,6.6,"8.5",0.00600123030264014,0.000331609479052667,0.00558707609994063,8.25447236468459e-05,1398030000,"%"
"Colombia",3.1032,0.0814,12.821,0,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,0.0776,0.1729,0.2276,0.3503,0.0343,5.0309,0.0057,4.7518,0.028,0.0947,0.9454,3.0981,37.1774,22.1,"4.8",0.00968952237265256,0.000446658990749196,0.00199110652320642,0.00725175685869695,50374000,"%"
"Congo",4.9612,0.0122,6.1258,0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.173,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0,0.0016,0.67,2.552,43.8709,8.4,"40.3",0.0110388403642446,0.000576101096450474,0.00124512172458651,0.00921761754320758,5381000,"%"
"Costa Rica",1.6982,0.1529,18.677,7e-04,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,0.0274,0.1161,0.2914,0.8354,0.0433,1.5676,0.3181,3.9006,0,0.0397,1.4363,2.9837,31.3238,25.7,"4.8",0.0135770750988142,0.000118577075098814,0.00426877470355731,0.0091897233201581,5060000,"%"
"Cote d'Ivoire",1.4487,0.0132,2.9144,0,11.4585,0.1587,1.3914,4.8741,0.9586,0.1285,0.0163,0.2648,0.6055,0.1727,0.1247,23.308,0.0759,0.7859,0,0.5443,0.8656,2.8098,47.0806,9,"19",0.00422121188367171,5.48718350709414e-05,0.00164223563533746,0.00252410441326331,25514000,"%"
"Croatia",4.9846,0.2296,17.311,5e-04,5.7726,0.3955,0.9196,3.4094,3.6945,11.8824,0,0.1889,0.3494,0.0373,0.0236,1.8078,0.2458,3.088,0,0.0761,0.3808,12.5188,32.6838,27.1,"<2.5",0.0495437731196054,0.0012577065351418,0.0242170160295931,0.0240690505548705,4055000,"%"
"Cuba",2.0589,0.1202,10.0096,0,9.9309,0.5263,0.3368,9.0347,3.2837,5.5971,0.0787,0.1456,0.5346,1.1336,0.0089,5.1555,0.0657,3.1617,0,6e-04,0.4535,8.374,39.9895,26.7,"<2.5",0.0114609347128077,0.000437031751694613,0.00371031038173386,0.00731359257937924,11212000,"%"
"Cyprus",3.4447,0.0277,16.1736,0.0015,7.0646,0.5746,1.8209,6.198,5.3167,8.2744,1.4858,0.1584,0.4089,0.211,0.0307,1.7705,0.2387,4.2194,0,0.1781,1.1937,7.3888,33.8191,22.6,"5.6",0.06432,0.00112,0.00784,0.05536,1250000,"%"
"Czechia",9.8498,0.8945,17.8065,6e-04,5.6937,0.4964,0.5355,3.3962,4.7618,10.983,0.1099,0.134,0.0949,0.1139,0.0316,3.3991,0.134,3.8081,0,0.0477,0.9854,4.5289,32.1944,28.5,"<2.5",0.0681630740393627,0.00200562324273664,0.0222211808809747,0.0439362699156514,10670000,"%"
"Denmark",4.8866,1.2415,23.2141,0.001,6.7226,0.8206,1.1797,3.1098,3.6804,15.9557,0,0.3347,0.1185,0.0369,0.0774,3.1113,0.4069,2.8728,0,0.1138,0.0915,5.2431,26.7812,21.3,"<2.5",0.144492180787077,0.00692558858910466,0.098212751331844,0.0393538408661282,5819000,"%"
"Djibouti",0.3778,0.0579,5.5215,0,20.2702,0.1275,0.4276,3.2735,1.7428,2.9085,1.1831,0.2572,0.0568,1.5724,0.1506,1.8633,0.1309,4.2005,0,0.0406,1.6153,9.7637,44.4582,12.2,"18.9",0.102566735112936,0.000205338809034908,0.0338809034907597,0.0684804928131417,974000,"%"
"Dominica",0.941,0.0319,8.9011,0,3.4014,0.1244,1.4188,19.3028,2.782,4.4217,0.6745,0.1219,1.1058,0.2255,0.1512,6.8477,0.2553,3.1738,0,0.0035,0.3797,4.6371,41.0989,28.2,"6.2",0.0222222222222222,0,0.0138888888888889,0.00833333333333333,72000,"%"
"Dominican Republic",3.21,0.1122,11.2417,6e-04,6.9232,0.6445,0.6059,18.4431,3.5009,6.1202,0.0906,0.2567,1.1395,0.5881,0.026,2.0198,0.142,2.1332,0,0.0108,1.2948,2.7385,38.7577,26.9,"9.5",0.0552788461538462,0.00256730769230769,0.00733653846153846,0.045375,10400000,"%"
"Ecuador",3.2929,0.1277,15.3469,0.0328,14.9132,0.6902,0.6893,8.039,4.0115,9.5745,0.1526,0.22,0.1765,0.157,0.0177,2.2701,0.0071,1.737,0,0.016,1.3777,2.4981,34.6522,19.3,"7.9",0.131567060458652,0.00333564975677554,0.00791058605513088,0.120320824646745,17268000,"%"
"Egypt",0.0722,0.0896,6.7374,0,17.5311,0.2307,1.5844,6.9387,1.7583,2.7568,0.0187,0.317,0.6541,0.3063,0.0655,2.6919,0.0863,1.7984,2.0338,0.0268,0.3839,10.6559,43.2622,31.1,"4.5",0.00413066300573367,0.000296777840587903,0.00108515707017686,0.00274872809496891,99064000,"%"
"El Salvador",2.1651,0.1113,12.888,0,11.7265,0.7533,0.573,5.9517,2.6337,8.7381,0.592,0.0794,1.4273,1.4661,0.0121,2.2462,0.2649,3.526,0,0.0155,0.4565,7.2703,37.1029,22.7,"9",0.00424542919119926,0.000123954136969321,0.00116207003408739,0.00295940502014255,6454000,"%"
"Estonia",6.1949,0.4556,22.3154,5e-04,6.3498,0.6145,0.7127,3.5061,3.081,17.3068,0.1501,0.1457,0.0518,0.1472,0.0576,3.2403,0.2121,2.3886,0,0.0886,0.3472,4.9558,27.6779,23.8,"2.9",0.12085843373494,0.00346385542168675,0.0155120481927711,0.101882530120482,1328000,"%"
"Eswatini",6.2239,0.1024,7.4118,0.0019,14.7814,0.1578,0.3643,8.5537,2.5917,3.9299,0.6695,0.262,0.3005,0.3578,0.1615,5.3187,0.0648,3.1796,0,0.0892,0.3258,2.5701,42.5816,13.5,"20.6",0.00328467153284672,9.12408759124088e-05,0.000912408759124088,0.00228102189781022,1096000,"%"
"Ethiopia",2.4543,0.0276,5.2956,0,22.0779,0.0594,0.0608,1.1774,0.7462,4.2647,0.018,0.1382,0.2322,3.0195,0.4298,11.2918,0.2957,1.317,0,0.0802,0.4699,1.8449,44.6989,3.6,"20.6",0.000104390653021529,2.67668341080845e-06,2.23056950900704e-05,7.94082745206506e-05,112079000,"%"
"Fiji",1.8598,0.2922,7.8511,0.0021,10.144,0.2682,2.3832,2.1636,3.0004,1.7421,0.2586,0.1642,4.3799,0.7746,0.05,7.8599,0.1238,9.7259,0,0.0157,0.8683,3.9255,42.1469,30,"3.7",0.00201793721973094,0,0.00112107623318386,0.000896860986547085,892000,"%"
"Finland",4.5004,0.519,26.8865,0,5.1978,0.3979,1.5306,3.1864,3.4915,20.8378,0.7944,0.1097,0.0883,0.0533,0.0168,2.7671,0.545,1.8388,0,0.046,0.2468,3.8325,23.1132,24.9,"<2.5",0.079605143995653,0.00320594095272596,0.0452816518746604,0.0311175511682666,5521000,"%"
"France",4.1631,0.7907,21.7097,0.0011,6.9951,0.611,1.8214,4.878,4.4005,13.784,0.1918,0.301,0.1479,0.0991,0.0164,2.6963,0.2925,2.611,0,0.2093,0.8675,5.1223,28.2903,23.2,"<2.5",0.246710059536663,0.0343631427954468,0.0682836166209088,0.144063300120307,64834000,"%"
"French Polynesia",4.6997,0.0309,14.3585,0.0169,7.6479,0.5386,3.4809,4.3512,7.0798,2.9364,3.2613,0.2748,3.1818,0.1452,0.0111,3.5436,0.126,2.8715,0.6809,0.0405,0.9675,4.0992,35.6559,NA,"4.2",NA,NA,NA,NA,279000,"%"
"Gabon",6.1881,0.0109,8.1825,0,9.1158,0.0701,2.2578,9.0341,4.32,0.9486,0.4751,0.5758,0.8509,0.0139,0.0015,11.8727,0.0212,1.2508,0.1248,0.0051,0.4824,2.3979,41.8004,13.4,"10.5",0.00790441176470588,0.000137867647058824,0.00119485294117647,0.00657169117647059,2176000,"%"
"Gambia",2.8419,0.0114,10.1417,0,21.8908,0.2008,3.9197,0.8742,1.1134,4.8167,0.9824,0.0812,3.1637,0.1281,0.0043,0.8614,0.2719,4.1176,0,0.0897,2.2026,2.4575,39.8291,8.7,"10.2",0.000425894378194208,4.25894378194208e-05,0.000340715502555366,4.25894378194208e-05,2348000,"%"
"Georgia",2.5343,0.2356,15.5347,0,15.6253,0.5032,0.6622,3.1735,2.6217,11.3605,0.7882,0.1507,0.084,0.0025,0.0247,3.7542,0.2397,3.311,0,0.1631,0.668,4.0993,34.4636,23.3,"7.9",0.0111083312484363,0.000125093820365274,0.00330247685764323,0.00768076057042782,3997000,"%"
"Germany",6.7714,0.6715,20.8485,0.0011,6.0363,0.5947,0.6758,3.6131,4.6524,14.1789,0,0.0747,0.1701,0.0419,0.0429,3.5712,0.3493,2.507,0,0.1903,0.8104,5.0542,29.1443,25.7,"<2.5",0.186521058965102,0.00693140794223827,0.132129963898917,0.0474596871239471,83100000,"%"
"Ghana",0.9444,0.0088,2.8956,0,6.323,0.0705,1.4992,10.4274,0.8069,0.4178,0.1657,0.0917,0.7957,0.392,0.238,24.6325,0.0053,0.8128,0.2815,0.0364,0.3655,1.6849,47.1041,9.7,"5.5",0.00422377068128529,3.30240084541462e-05,0.000442521713285559,0.00374822495954559,30281000,"%"
"Greece",2.2879,0.2116,17.6914,5e-04,7.2801,0.4539,1.026,6.3296,3.7836,12.0221,0.0596,0.1947,0.8112,0.2539,0.0243,3.1307,0.256,1.7744,0,0.6676,1.5237,7.9134,32.3038,27.4,"<2.5",0.023268853378189,0.00121483973460424,0.00539201943743575,0.016661994206149,10701000,"%"
"Grenada",3.1315,0.1276,12.1319,0.0019,7.6569,0.9226,2.5802,11.0608,5.6546,2.7183,1.2873,0.1266,1.3768,0.6417,0.3171,2.2222,0.1104,5.448,0,0.0143,0.9959,3.6085,37.8648,20.2,NA,0.0133928571428571,0,0.00625,0.00714285714285714,112000,"%"
"Guatemala",1.7037,0.0957,10.3765,0,15.1579,1.4676,0.2807,6.7124,3.9589,4.4093,0.0348,0.1632,0.5276,1.6504,0.0403,1.3316,0.2872,5.3058,0,0.198,0.8747,5.7997,39.624,18.8,"15.2",0.00244582219441442,6.2567544508276e-05,0.000170638757749844,0.00221261589215631,17581000,"%"
"Guinea",0.311,0.0213,3.8776,0,17.2911,0.1648,0.8939,7.9395,1.1561,1.4724,0.2312,0.1692,0.9506,0.3925,0,11.7958,0.1196,1.3368,0,9e-04,1.3271,4.4286,46.1202,6.6,"16.5",0.00780815190702243,4.91078736290719e-05,0.00156326731052545,0.0061957767228679,12218000,"%"
"Guinea-Bissau",2.4603,0.0423,4.9295,0,21.6069,0.1038,0.1666,6.366,2.2155,2.1899,0.5331,0.2114,0.328,0.2499,0.0013,8.1087,0.0167,0.7893,0,0.4485,1.8016,2.3642,45.0666,8.2,"28",0.00276742948376796,0,0.000159659393294305,0.00260777009047366,1879000,"%"
"Guyana",1.8708,0.0206,9.1155,0,9.7847,0.1038,1.7011,5.7954,2.5237,4.7277,0.3516,0.0385,1.8367,0.3907,0.1942,1.8384,0.0742,3.2325,0,0.0435,0.2779,15.2061,40.8722,19.2,"8.1",0.00932311621966794,0.000893997445721584,0.00153256704980843,0.00689655172413793,783000,"%"
"Haiti",1.2733,0.0402,3.5986,0,13.4196,0.0525,0.5064,12.0278,1.9687,0.8765,0.3309,0.1532,0.4829,2.0067,0.0022,11.48,0.3801,2.0961,0,0,0.8742,2.0302,46.3997,20.5,"49.3",0.00063926129805558,5.3271774837965e-05,5.3271774837965e-05,0.00053271774837965,11263000,"%"
"Honduras",2.0662,0.1378,13.6048,0,14.1699,0.4601,0.3339,6.8464,3.508,9.0154,0.6923,0.1505,0.1749,1.3962,0.0138,0.6796,0.4686,5.9591,0,0.0276,1.2467,2.6599,36.3883,19.4,"12.9",0.00606402626718654,0.000564334085778781,0.000595115945003078,0.00490457623640468,9746000,"%"
"Hungary",6.7533,1.0595,20.0268,7e-04,7.5908,0.8885,0.4113,3.0852,5.2042,12.4568,0.0039,0.0052,0.0679,0.1906,0.1802,3.046,0.1031,2.5433,0,0.0183,0.7214,5.6788,29.9644,28.6,"<2.5",0.0250051177072671,0.00268167860798362,0.0046878198567042,0.0176356192425793,9770000,"%"
"Iceland",4.7545,0.9461,23.97,0.0025,4.1196,0.5557,4.6117,4.8405,4.6269,13.0028,1.4022,0.2232,0.1759,0.0376,0.0676,1.9909,0.4626,3.9472,0,0.0752,0.4667,3.6874,26.0331,23.1,"<2.5",0.495567867036011,0.00277008310249307,0.427146814404432,0.0656509695290859,361000,"%"
"India",0.1959,0.0028,11.3357,0,17.3821,0.3061,0.6499,5.4333,0.356,9.9889,0,0.0311,0.728,1.5709,0.3268,2.7906,0.0753,1.7471,0,0.1526,0.7487,7.5213,38.6568,3.8,"14.5",0.00176235824080294,5.60391124266732e-05,0.000395003897592114,0.00131131523078415,1391885000,"%"
"Indonesia",0.0794,0.0309,6.2575,9e-04,24.3918,0.4911,3.9386,5.5134,1.0316,0.5943,0.0026,0.1702,2.2113,0.0988,0.1508,4.6343,0.0406,1.8481,0,0.0564,0.8579,3.8558,43.7438,6.9,"8.3",0.00305902339253183,0.000256688237419855,0.000373296972270964,0.00242903818284101,268419000,"%"
"Iran (Islamic Republic of)",7e-04,0.5369,7.9295,0.002,14.0141,0.4916,0.7813,7.9235,2.3965,3.5808,7e-04,0.1405,0.054,0.4729,0.0559,3.2877,0.1299,2.198,0,0.6421,0.7706,12.5207,42.0701,25.5,"4.9",0.105104217563847,0.00664275244008533,0.079368616748698,0.0190928483750641,83911000,"%"
"Iraq",0.1915,0.0423,6.2809,0,24.0855,1.2467,0.445,6.4975,2.5171,1.9902,0.3975,0.0396,0.3037,0.4807,0.0304,1.0842,0.1783,3.3755,0,0.1268,2.0139,4.9563,43.7165,27.4,"29",0.0043449503943017,0.000218773848893411,0.00306283388450776,0.00106334266090053,39310000,"%"
"Ireland",7.5703,0.871,18.5712,5e-04,6.3057,0.4653,1.1942,3.3996,4.0102,11.9469,0.2951,0.0831,0.1733,0.1325,0.0362,3.5362,0.1855,4.0147,0,0.0836,0.7497,4.951,31.4242,26.9,"<2.5",0.368171694675035,0.0205304717554161,0.186940676250253,0.160700546669366,4939000,"%"
"Israel",1.2876,0.1026,18.7463,0.0017,7.6277,0.5664,1.4696,6.3746,5.5003,10.9066,0.2602,0.2007,0.5233,0.364,0.0278,1.9975,0.2619,1.7747,0,0.2262,1.6743,8.8586,31.2472,26.7,"<2.5",0.176757835426693,0.00227726258950581,0.0704660171381618,0.104014555699026,8519000,"%"
"Italy",3.1892,0.2834,19.0329,5e-04,8.5417,0.6247,1.5816,6.0207,4.2963,12.1258,0.0403,0.1194,0.1836,0.2781,0.0064,1.9043,0.2946,1.7175,0,0.423,1.4224,6.9463,30.9671,22.9,"<2.5",0.319817714806529,0.0430342199022289,0.100253542132737,0.176529952771564,60345000,"%"
"Jamaica",2.4636,0.2074,11.9958,0.0074,8.5031,0.1457,1.8692,8.0661,4.3372,5.217,0.6952,0.2111,0.999,0.2177,0.3752,4.5837,0.1677,4.6889,0,0.011,0.7584,6.4772,38.0023,24.4,"8",0.0102454642475987,0.000249021700462469,0.000996086801849876,0.00900035574528637,2811000,"%"
"Japan",4.044,0.0751,15.3194,0.1088,12.1692,1.696,3.9283,2.8618,4.2599,5.063,0.2962,0.1883,0.7737,0.1287,0.1036,2.2072,0.3731,2.2055,0.228,0.0812,1.3445,7.8669,34.6776,4.4,"<2.5",0.0101672214297036,0.000273418925344746,0.00121255349500713,0.00868124900935172,126180000,"%"
"Jordan",0.0846,0.1162,9.3186,0,14.138,0.3344,0.5985,4.6624,3.8651,4.2637,0.3579,0.1397,0.728,0.6393,0.0469,2.1431,0.3742,4.7276,0,0.1652,1.9861,10.6308,40.6798,33.4,"12.2",0.00422454258070696,6.70562314397931e-05,0.00312290449276751,0.00103458185649966,10439000,"%"
"Kazakhstan",2.1919,0.3611,19.1598,0,6.5119,0.4584,0.2393,3.2145,3.4501,14.3591,0.2967,0.2914,0.1154,0.0255,0.0106,5.4755,0.1319,1.456,0,0.0845,1.1215,10.2055,30.8394,21.3,"<2.5",0.0134096925819871,0.000135069425684802,0.00326327732454482,0.0100113458317575,18509000,"%"
"Kenya",1.9664,0.1175,11.4394,0,15.1221,0.1447,0.4329,4.6941,1.7336,8.7987,0.025,0.211,0.2686,1.751,0.0174,7.5828,0.223,1.8098,0,0.0892,0.6689,4.345,38.5589,6,"29.4",0.0006390991744969,2.66291322707042e-05,0.000178795602389014,0.000433674439837182,52574000,"%"
"Kiribati",0.297,0.0486,8.8958,0,8.2747,0.164,6.1065,5.8907,2.3856,0.1561,0.5104,0.035,9.9946,0.0032,0.0064,7.183,0.0311,4.1373,0,0.1951,0.4419,4.1389,41.1042,45.6,"2.7",NA,NA,NA,NA,123000,"%"
