"Country","Alcoholic Beverages","Animal fats","Animal Products","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar & Sweeteners","Sugar Crops","Treenuts","Vegetable Oils","Vegetables","Vegetal Products","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Bahamas",2.0175,0.0062,11.4718,9e-04,3.7246,0.625,2.4144,13.2718,5.9269,2.1757,2.9316,0.3218,0.6993,0.0504,0.0884,1.0547,0.1556,6.2151,0,0.0495,0.511,7.7649,38.5229,32.1,NA,0.0205655526992288,0.00282776349614396,0.00591259640102828,0.0118251928020566,389000,"%"
"Bangladesh",0.0031,0.0156,5.1926,0,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.0197,0.0633,0.082,0.7065,0.3195,5.3378,0.0529,0.9285,0.195,0.0934,0.7615,3.6405,44.8033,3.4,"14.7",0.00433990969468494,9.95924651884619e-05,9.16495078421429e-05,0.00414866772165434,163667000,"%"
"Barbados",3.565,0.2212,12.4976,0,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,3.302,0.1704,0.8734,0.6391,0.1565,4.0812,0.1721,4.3344,0,0.0852,0.8677,5.4725,37.5167,24.8,"3.9",0.0278745644599303,0.0024390243902439,0.013588850174216,0.0118466898954704,287000,"%"
"Belarus",3.7563,0.3353,12.7089,0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.072,0.001,0.0067,9.1691,0.1142,4.0155,0,0.1399,0.8804,8.7859,37.2904,26.6,"<2.5",0.1392310129925,0.000887292700961234,0.0218865532903771,0.116457167001162,9467000,"%"
"Belgium",5.373,0.8559,17.7279,0.001,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0,0.1309,0.564,6.8161,32.2637,24.5,"<2.5",0.417690696456624,0.0654651771687904,0.0984726828416827,0.253752836446151,11458000,"%"
"Belize",3.3803,0.0832,8.6856,0,11.07,0.3923,1.0325,12.6094,3.489,3.6317,1.7653,0.0569,0.394,1.1259,0.0195,1.0614,0.0849,3.9798,0,0.034,1.0198,4.7721,41.3122,22.4,"7.5",0.00441176470588235,0.000490196078431373,0.00220588235294118,0.0017156862745098,408000,"%"
"Benin",5.9019,0.0132,3.7504,0,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.145,0.0829,0.6628,0.7367,0.4461,19.7771,0.0042,0.6635,0,0.4028,0.7381,4.1964,46.2493,8.2,"10.1",0.000542326921447335,8.47385814761461e-06,0.000279637318871282,0.000254215744428438,11801000,"%"
"Bolivia",2.8956,0.0889,11.7799,0,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,0.1661,0.1006,0.1374,0.3654,0.0422,7.7315,0.2083,2.5724,0,0.7084,0.3573,3.2224,38.2165,18.7,"17.1",0.00967741935483871,0.000514385353095031,0.00102005231037489,0.00814298169136879,11470000,"%"
"Bosnia and Herzegovina",4.7876,0.0585,12.4319,0,8.7152,0.2576,0.2465,4.6409,1.8165,9.9443,0.486,0.1089,0.0963,0.2718,0.3922,4.0495,0.3504,1.6391,0,0.0822,0.4205,11.6394,37.5645,19.4,"<2.5",0.0480103063269396,0.00186086458631549,0.0203263670197538,0.0258230747208703,3493000,"%"
"Botswana",4.2717,0.3402,14.4486,0,11.432,0.1402,0.3551,2.8465,2.284,11.0217,1.6092,0.3056,0.2019,0.2729,0.1626,4.7614,0.1336,4.7857,9e-04,0.015,1.0065,4.0558,35.5491,16.1,"26.4",0.00100744634253176,4.38020148926851e-05,0.000219010074463425,0.000744634253175646,2283000,"%"
"Brazil",4.3629,0.2803,17.347,0,8.4292,0.5042,0.5899,6.0936,6.4784,9.3416,6e-04,0.1512,0.7093,0.9254,0.0071,3.3959,0.3024,2.7755,1.0111,0.0513,1.2823,3.307,32.6537,22.3,"<2.5",0.0380663252632182,0.00263361550073567,0.0163051993961745,0.0191275103663081,209332000,"%"
"Bulgaria",7.0834,0.2488,17.2483,0.0103,8.875,0.5924,0.4845,3.9812,4.0073,11.5992,0.2254,0.3058,0.345,0.1512,0.6048,1.8576,0.2818,2.3627,0,0.0797,0.7085,6.2037,32.7435,27.4,"3.6",0.0207455197132616,0.000917562724014337,0.00348387096774194,0.0163440860215054,6975000,"%"
"Burkina Faso",15.3706,0.0231,4.6611,0,21.2005,0.2406,0.7077,0.6596,1.2029,2.3195,0.1373,0.1664,1.8664,1.4294,0.0321,0.9723,0.0211,1.1287,0,0.0712,0.9503,1.5036,45.3359,4.5,"20",0.00315437232419664,0.000211603759657497,0.0024506667978938,0.000492101766645342,20321000,"%"
"Cabo Verde",3.9814,0.0363,9.7559,0.0029,14.7961,0.4602,1.0598,4.6402,3.0725,5.0192,1.119,0.105,0.5394,1.139,0.2731,3.843,0.1671,2.1396,0,0.0258,0.9471,6.6338,40.2437,10.6,"12.6",0.0207272727272727,0.000181818181818182,0.000363636363636364,0.0201818181818182,550000,"%"
"Cambodia",4.5783,0.0377,6.08,0,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,0.4853,0.1211,0.79,0.4903,0.0784,3.0519,0.126,2.9923,0.8367,0.0238,0.2511,3.0072,43.9195,3.5,"16.4",0.000739976951537575,0,0.000721780796991569,1.81961545460059e-05,16487000,"%"
"Cameroon",5.156,0.0146,2.933,0,10.3112,0.0256,1.3206,7.2151,0.876,0.6289,0.0717,0.0673,0.8658,1.4734,0.283,11.3883,0.0234,0.6479,0,0.1324,0.6398,8.859,47.067,9.5,"9.9",0.00707991961663317,0.000235739681558201,0.00360952233730097,0.003234657597774,25876000,"%"
"Canada",4.8441,0.8084,16.0365,0.006,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,0.6071,0.0097,0.4334,0.6304,0.0574,3.494,0.4053,5.0237,0,0.1439,1.3441,5.4961,33.9551,31.3,"<2.5",0.141301152005987,0.00843289765589501,0.0543313821398979,0.0785368722101943,37413000,"%"
"Central African Republic",1.7435,0.1228,6.9032,0,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.0614,0.4338,0.697,0.8936,0.0031,27.7128,0.2008,0.7022,0,0,0.724,1.9214,43.0942,6.3,"59.6",0.00105374077976818,0,0.000210748155953635,0.000842992623814542,4745000,"%"
"Chad",0.8297,0.2023,12.2804,0,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,0.064,1.2256,3.0304,1.4133,0,6.991,0.0087,1.3449,0,0,0.4556,0.9141,37.7189,4.8,"37.5",0.000318042813455657,1.22324159021407e-05,0.000116207951070336,0.00018960244648318,16350000,"%"
"Chile",4.969,0.1782,15.0394,0.0155,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,0.3024,0.0525,0.2588,0.2677,0.0133,4.7183,0.1353,3.5582,0,0.119,0.5435,5.3092,34.9584,28.8,"2.7",0.0779033861935416,0.00113047574187471,0.0421677919087246,0.0346051185429424,19107000,"%"
"China",2.3224,0.0866,13.424,0.0542,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,1.3773,0.8643,0.4401,0.0704,0.0364,1.9016,0.1781,3.1065,0.0253,0.2665,0.579,13.099,36.5744,6.6,"8.5",0.00600444911768703,0.000331681008275931,0.00561318426643205,5.95838429790491e-05,1398030000,"%"
"Colombia",3.1032,0.0814,12.821,0,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,0.0776,0.1729,0.2276,0.3503,0.0343,5.0309,0.0057,4.7518,0.028,0.0947,0.9454,3.0981,37.1774,22.1,"4.8",0.0123218326914678,0.000551871997459007,0.00280104815976496,0.00896891253424386,50374000,"%"
"Congo",4.9612,0.0122,6.1258,0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.173,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0,0.0016,0.67,2.552,43.8709,8.4,"40.3",0.0129715666233042,0.000706188440810258,0.00144954469429474,0.0108158334881992,5381000,"%"
"Costa Rica",1.6982,0.1529,18.677,7e-04,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,0.0274,0.1161,0.2914,0.8354,0.0433,1.5676,0.3181,3.9006,0,0.0397,1.4363,2.9837,31.3238,25.7,"4.8",0.0140909090909091,0.000118577075098814,0.00638339920948617,0.00758893280632411,5060000,"%"
"Cote d'Ivoire",1.4487,0.0132,2.9144,0,11.4585,0.1587,1.3914,4.8741,0.9586,0.1285,0.0163,0.2648,0.6055,0.1727,0.1247,23.308,0.0759,0.7859,0,0.5443,0.8656,2.8098,47.0806,9,"19",0.00485223798698754,5.48718350709414e-05,0.00218311515246531,0.00261425099945128,25514000,"%"
"Croatia",4.9846,0.2296,17.311,5e-04,5.7726,0.3955,0.9196,3.4094,3.6945,11.8824,0,0.1889,0.3494,0.0373,0.0236,1.8078,0.2458,3.088,0,0.0761,0.3808,12.5188,32.6838,27.1,"<2.5",0.0508508014796548,0.00165228113440197,0.0317632552404439,0.0174352651048089,4055000,"%"
"Cuba",2.0589,0.1202,10.0096,0,9.9309,0.5263,0.3368,9.0347,3.2837,5.5971,0.0787,0.1456,0.5346,1.1336,0.0089,5.1555,0.0657,3.1617,0,6e-04,0.4535,8.374,39.9895,26.7,"<2.5",0.0130841955048163,0.00051730288976097,0.00550303246521584,0.00706386014983946,11212000,"%"
"Cyprus",3.4447,0.0277,16.1736,0.0015,7.0646,0.5746,1.8209,6.198,5.3167,8.2744,1.4858,0.1584,0.4089,0.211,0.0307,1.7705,0.2387,4.2194,0,0.1781,1.1937,7.3888,33.8191,22.6,"5.6",0.06744,0.0012,0.01184,0.0544,1250000,"%"
"Czechia",9.8498,0.8945,17.8065,6e-04,5.6937,0.4964,0.5355,3.3962,4.7618,10.983,0.1099,0.134,0.0949,0.1139,0.0316,3.3991,0.134,3.8081,0,0.0477,0.9854,4.5289,32.1944,28.5,"<2.5",0.0710309278350515,0.00212746016869728,0.0291283973758201,0.0397750702905342,10670000,"%"
"Denmark",4.8866,1.2415,23.2141,0.001,6.7226,0.8206,1.1797,3.1098,3.6804,15.9557,0,0.3347,0.1185,0.0369,0.0774,3.1113,0.4069,2.8728,0,0.1138,0.0915,5.2431,26.7812,21.3,"<2.5",0.158205877298505,0.00761299192301083,0.112699776593916,0.0378931087815776,5819000,"%"
"Djibouti",0.3778,0.0579,5.5215,0,20.2702,0.1275,0.4276,3.2735,1.7428,2.9085,1.1831,0.2572,0.0568,1.5724,0.1506,1.8633,0.1309,4.2005,0,0.0406,1.6153,9.7637,44.4582,12.2,"18.9",0.110574948665298,0.000205338809034908,0.0614989733059548,0.048870636550308,974000,"%"
"Dominica",0.941,0.0319,8.9011,0,3.4014,0.1244,1.4188,19.3028,2.782,4.4217,0.6745,0.1219,1.1058,0.2255,0.1512,6.8477,0.2553,3.1738,0,0.0035,0.3797,4.6371,41.0989,28.2,"6.2",0.0222222222222222,0,0.0180555555555556,0.00416666666666667,72000,"%"
"Dominican Republic",3.21,0.1122,11.2417,6e-04,6.9232,0.6445,0.6059,18.4431,3.5009,6.1202,0.0906,0.2567,1.1395,0.5881,0.026,2.0198,0.142,2.1332,0,0.0108,1.2948,2.7385,38.7577,26.9,"9.5",0.0639615384615385,0.00281730769230769,0.0118076923076923,0.0493365384615385,10400000,"%"
"Ecuador",3.2929,0.1277,15.3469,0.0328,14.9132,0.6902,0.6893,8.039,4.0115,9.5745,0.1526,0.22,0.1765,0.157,0.0177,2.2701,0.0071,1.737,0,0.016,1.3777,2.4981,34.6522,19.3,"7.9",0.142894371091035,0.00511350474866806,0.00901667824878388,0.128764188093584,17268000,"%"
"Egypt",0.0722,0.0896,6.7374,0,17.5311,0.2307,1.5844,6.9387,1.7583,2.7568,0.0187,0.317,0.6541,0.3063,0.0655,2.6919,0.0863,1.7984,2.0338,0.0268,0.3839,10.6559,43.2622,31.1,"4.5",0.00531777436808528,0.000383590406202051,0.00134761366389405,0.00358657029798918,99064000,"%"
"El Salvador",2.1651,0.1113,12.888,0,11.7265,0.7533,0.573,5.9517,2.6337,8.7381,0.592,0.0794,1.4273,1.4661,0.0121,2.2462,0.2649,3.526,0,0.0155,0.4565,7.2703,37.1029,22.7,"9",0.00584133870467927,0.000139448404090487,0.00164239231484351,0.00405949798574527,6454000,"%"
"Estonia",6.1949,0.4556,22.3154,5e-04,6.3498,0.6145,0.7127,3.5061,3.081,17.3068,0.1501,0.1457,0.0518,0.1472,0.0576,3.2403,0.2121,2.3886,0,0.0886,0.3472,4.9558,27.6779,23.8,"2.9",0.125451807228916,0.00376506024096386,0.0177710843373494,0.103915662650602,1328000,"%"
"Eswatini",6.2239,0.1024,7.4118,0.0019,14.7814,0.1578,0.3643,8.5537,2.5917,3.9299,0.6695,0.262,0.3005,0.3578,0.1615,5.3187,0.0648,3.1796,0,0.0892,0.3258,2.5701,42.5816,13.5,"20.6",0.0083029197080292,9.12408759124088e-05,0.000912408759124088,0.0072992700729927,1096000,"%"
"Ethiopia",2.4543,0.0276,5.2956,0,22.0779,0.0594,0.0608,1.1774,0.7462,4.2647,0.018,0.1382,0.2322,3.0195,0.4298,11.2918,0.2957,1.317,0,0.0802,0.4699,1.8449,44.6989,3.6,"20.6",0.000115989614468366,2.67668341080845e-06,5.17492126089633e-05,6.15637184485943e-05,112079000,"%"
"Fiji",1.8598,0.2922,7.8511,0.0021,10.144,0.2682,2.3832,2.1636,3.0004,1.7421,0.2586,0.1642,4.3799,0.7746,0.05,7.8599,0.1238,9.7259,0,0.0157,0.8683,3.9255,42.1469,30,"3.7",0.00201793721973094,0,0.00134529147982063,0.000672645739910314,892000,"%"
"Finland",4.5004,0.519,26.8865,0,5.1978,0.3979,1.5306,3.1864,3.4915,20.8378,0.7944,0.1097,0.0883,0.0533,0.0168,2.7671,0.545,1.8388,0,0.046,0.2468,3.8325,23.1132,24.9,"<2.5",0.0888607136388335,0.00373120811447202,0.0507154500996196,0.0344140554247419,5521000,"%"
"France",4.1631,0.7907,21.7097,0.0011,6.9951,0.611,1.8214,4.878,4.4005,13.784,0.1918,0.301,0.1479,0.0991,0.0164,2.6963,0.2925,2.611,0,0.2093,0.8675,5.1223,28.2903,23.2,"<2.5",0.256876021840392,0.03720424468643,0.0757596322916988,0.143912144862264,64834000,"%"
"French Polynesia",4.6997,0.0309,14.3585,0.0169,7.6479,0.5386,3.4809,4.3512,7.0798,2.9364,3.2613,0.2748,3.1818,0.1452,0.0111,3.5436,0.126,2.8715,0.6809,0.0405,0.9675,4.0992,35.6559,NA,"4.2",NA,NA,NA,NA,279000,"%"
"Gabon",6.1881,0.0109,8.1825,0,9.1158,0.0701,2.2578,9.0341,4.32,0.9486,0.4751,0.5758,0.8509,0.0139,0.0015,11.8727,0.0212,1.2508,0.1248,0.0051,0.4824,2.3979,41.8004,13.4,"10.5",0.0126838235294118,0.000137867647058824,0.00307904411764706,0.00946691176470588,2176000,"%"
"Gambia",2.8419,0.0114,10.1417,0,21.8908,0.2008,3.9197,0.8742,1.1134,4.8167,0.9824,0.0812,3.1637,0.1281,0.0043,0.8614,0.2719,4.1176,0,0.0897,2.2026,2.4575,39.8291,8.7,"10.2",0.000425894378194208,4.25894378194208e-05,0.000340715502555366,4.25894378194208e-05,2348000,"%"
"Georgia",2.5343,0.2356,15.5347,0,15.6253,0.5032,0.6622,3.1735,2.6217,11.3605,0.7882,0.1507,0.084,0.0025,0.0247,3.7542,0.2397,3.311,0,0.1631,0.668,4.0993,34.4636,23.3,"7.9",0.0129347010257693,0.000150112584438329,0.00445334000500375,0.00833124843632724,3997000,"%"
"Germany",6.7714,0.6715,20.8485,0.0011,6.0363,0.5947,0.6758,3.6131,4.6524,14.1789,0,0.0747,0.1701,0.0419,0.0429,3.5712,0.3493,2.507,0,0.1903,0.8104,5.0542,29.1443,25.7,"<2.5",0.194391095066185,0.00778219013237064,0.14488567990373,0.0417232250300842,83100000,"%"
"Ghana",0.9444,0.0088,2.8956,0,6.323,0.0705,1.4992,10.4274,0.8069,0.4178,0.1657,0.0917,0.7957,0.392,0.238,24.6325,0.0053,0.8128,0.2815,0.0364,0.3655,1.6849,47.1041,9.7,"5.5",0.00551831181268782,5.28384135266339e-05,0.000620851358937948,0.00484462204022324,30281000,"%"
"Greece",2.2879,0.2116,17.6914,5e-04,7.2801,0.4539,1.026,6.3296,3.7836,12.0221,0.0596,0.1947,0.8112,0.2539,0.0243,3.1307,0.256,1.7744,0,0.6676,1.5237,7.9134,32.3038,27.4,"<2.5",0.0240725165872348,0.001298944023923,0.00539201943743575,0.0173815531258761,10701000,"%"
"Grenada",3.1315,0.1276,12.1319,0.0019,7.6569,0.9226,2.5802,11.0608,5.6546,2.7183,1.2873,0.1266,1.3768,0.6417,0.3171,2.2222,0.1104,5.448,0,0.0143,0.9959,3.6085,37.8648,20.2,NA,0.0178571428571429,0,0.0116071428571429,0.00625,112000,"%"
"Guatemala",1.7037,0.0957,10.3765,0,15.1579,1.4676,0.2807,6.7124,3.9589,4.4093,0.0348,0.1632,0.5276,1.6504,0.0403,1.3316,0.2872,5.3058,0,0.198,0.8747,5.7997,39.624,18.8,"15.2",0.00316819293555543,9.10073374665832e-05,0.00035265343268301,0.00272453216540584,17581000,"%"
"Guinea",0.311,0.0213,3.8776,0,17.2911,0.1648,0.8939,7.9395,1.1561,1.4724,0.2312,0.1692,0.9506,0.3925,0,11.7958,0.1196,1.3368,0,9e-04,1.3271,4.4286,46.1202,6.6,"16.5",0.011057456212146,5.72925192339172e-05,0.00256179407431658,0.00843836961859551,12218000,"%"
"Guinea-Bissau",2.4603,0.0423,4.9295,0,21.6069,0.1038,0.1666,6.366,2.2155,2.1899,0.5331,0.2114,0.328,0.2499,0.0013,8.1087,0.0167,0.7893,0,0.4485,1.8016,2.3642,45.0666,8.2,"28",0.0109100585417775,5.32197977647685e-05,0.0010111761575306,0.00984566258648217,1879000,"%"
"Guyana",1.8708,0.0206,9.1155,0,9.7847,0.1038,1.7011,5.7954,2.5237,4.7277,0.3516,0.0385,1.8367,0.3907,0.1942,1.8384,0.0742,3.2325,0,0.0435,0.2779,15.2061,40.8722,19.2,"8.1",0.00996168582375479,0.00102171136653895,0.00229885057471264,0.00664112388250319,783000,"%"
"Haiti",1.2733,0.0402,3.5986,0,13.4196,0.0525,0.5064,12.0278,1.9687,0.8765,0.3309,0.1532,0.4829,2.0067,0.0022,11.48,0.3801,2.0961,0,0,0.8742,2.0302,46.3997,20.5,"49.3",0.000674775814614224,5.3271774837965e-05,7.10290331172867e-05,0.000550475006658972,11263000,"%"
"Honduras",2.0662,0.1378,13.6048,0,14.1699,0.4601,0.3339,6.8464,3.508,9.0154,0.6923,0.1505,0.1749,1.3962,0.0138,0.6796,0.4686,5.9591,0,0.0276,1.2467,2.6599,36.3883,19.4,"12.9",0.0075723373691771,0.000677200902934537,0.000749025241124564,0.006146111225118,9746000,"%"
"Hungary",6.7533,1.0595,20.0268,7e-04,7.5908,0.8885,0.4113,3.0852,5.2042,12.4568,0.0039,0.0052,0.0679,0.1906,0.1802,3.046,0.1031,2.5433,0,0.0183,0.7214,5.6788,29.9644,28.6,"<2.5",0.0279119754350051,0.00307062436028659,0.00548618219037871,0.0193551688843398,9770000,"%"
"Iceland",4.7545,0.9461,23.97,0.0025,4.1196,0.5557,4.6117,4.8405,4.6269,13.0028,1.4022,0.2232,0.1759,0.0376,0.0676,1.9909,0.4626,3.9472,0,0.0752,0.4667,3.6874,26.0331,23.1,"<2.5",0.497783933518006,0.00277008310249307,0.458725761772853,0.0362880886426593,361000,"%"
"India",0.1959,0.0028,11.3357,0,17.3821,0.3061,0.6499,5.4333,0.356,9.9889,0,0.0311,0.728,1.5709,0.3268,2.7906,0.0753,1.7471,0,0.1526,0.7487,7.5213,38.6568,3.8,"14.5",0.00237533991673163,7.75207721902312e-05,0.000606156399415182,0.00169166274512621,1391885000,"%"
"Indonesia",0.0794,0.0309,6.2575,9e-04,24.3918,0.4911,3.9386,5.5134,1.0316,0.5943,0.0026,0.1702,2.2113,0.0988,0.1508,4.6343,0.0406,1.8481,0,0.0564,0.8579,3.8558,43.7438,6.9,"8.3",0.0036402043074447,0.000292080664930575,0.00051821964913065,0.00282990399338348,268419000,"%"
"Iran (Islamic Republic of)",7e-04,0.5369,7.9295,0.002,14.0141,0.4916,0.7813,7.9235,2.3965,3.5808,7e-04,0.1405,0.054,0.4729,0.0559,3.2877,0.1299,2.198,0,0.6421,0.7706,12.5207,42.0701,25.5,"4.9",0.111614686989787,0.00709918842583213,0.087939602674262,0.0165758958896926,83911000,"%"
"Iraq",0.1915,0.0423,6.2809,0,24.0855,1.2467,0.445,6.4975,2.5171,1.9902,0.3975,0.0396,0.3037,0.4807,0.0304,1.0842,0.1783,3.3755,0,0.1268,2.0139,4.9563,43.7165,27.4,"29",0.00509539557364538,0.000234037140676673,0.00342406512337828,0.00143729330959043,39310000,"%"
"Ireland",7.5703,0.871,18.5712,5e-04,6.3057,0.4653,1.1942,3.3996,4.0102,11.9469,0.2951,0.0831,0.1733,0.1325,0.0362,3.5362,0.1855,4.0147,0,0.0836,0.7497,4.951,31.4242,26.9,"<2.5",0.410062765742053,0.0240939461429439,0.271026523587771,0.114942296011338,4939000,"%"
"Israel",1.2876,0.1026,18.7463,0.0017,7.6277,0.5664,1.4696,6.3746,5.5003,10.9066,0.2602,0.2007,0.5233,0.364,0.0278,1.9975,0.2619,1.7747,0,0.2262,1.6743,8.8586,31.2472,26.7,"<2.5",0.185866885784717,0.00252377039558634,0.0966427984505224,0.0867003169386078,8519000,"%"
"Italy",3.1892,0.2834,19.0329,5e-04,8.5417,0.6247,1.5816,6.0207,4.2963,12.1258,0.0403,0.1194,0.1836,0.2781,0.0064,1.9043,0.2946,1.7175,0,0.423,1.4224,6.9463,30.9671,22.9,"<2.5",0.337378407490264,0.0458728975060071,0.118074405501699,0.173431104482559,60345000,"%"
"Jamaica",2.4636,0.2074,11.9958,0.0074,8.5031,0.1457,1.8692,8.0661,4.3372,5.217,0.6952,0.2111,0.999,0.2177,0.3752,4.5837,0.1677,4.6889,0,0.011,0.7584,6.4772,38.0023,24.4,"8",0.0140875133404482,0.000249021700462469,0.00103166133048737,0.0128068303094984,2811000,"%"
"Japan",4.044,0.0751,15.3194,0.1088,12.1692,1.696,3.9283,2.8618,4.2599,5.063,0.2962,0.1883,0.7737,0.1287,0.1036,2.2072,0.3731,2.2055,0.228,0.0812,1.3445,7.8669,34.6776,4.4,"<2.5",0.0110120462830877,0.000327310191789507,0.0018766841020764,0.00880805198922175,126180000,"%"
"Jordan",0.0846,0.1162,9.3186,0,14.138,0.3344,0.5985,4.6624,3.8651,4.2637,0.3579,0.1397,0.728,0.6393,0.0469,2.1431,0.3742,4.7276,0,0.1652,1.9861,10.6308,40.6798,33.4,"12.2",0.00432033719704953,7.66356930740492e-05,0.00341028834179519,0.000833413162180285,10439000,"%"
"Kazakhstan",2.1919,0.3611,19.1598,0,6.5119,0.4584,0.2393,3.2145,3.4501,14.3591,0.2967,0.2914,0.1154,0.0255,0.0106,5.4755,0.1319,1.456,0,0.0845,1.1215,10.2055,30.8394,21.3,"<2.5",0.0169539143119563,0.000135069425684802,0.00442487438543411,0.0123939705008374,18509000,"%"
"Kenya",1.9664,0.1175,11.4394,0,15.1221,0.1447,0.4329,4.6941,1.7336,8.7987,0.025,0.211,0.2686,1.751,0.0174,7.5828,0.223,1.8098,0,0.0892,0.6689,4.345,38.5589,6,"29.4",0.000730399056567885,2.8531213147183e-05,0.000245368433065774,0.000456499410354928,52574000,"%"
"Kiribati",0.297,0.0486,8.8958,0,8.2747,0.164,6.1065,5.8907,2.3856,0.1561,0.5104,0.035,9.9946,0.0032,0.0064,7.183,0.0311,4.1373,0,0.1951,0.4419,4.1389,41.1042,45.6,"2.7",NA,NA,NA,NA,123000,"%"
