"Country","Alcoholic Beverages","Animal fats","Animal Products","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar & Sweeteners","Sugar Crops","Treenuts","Vegetable Oils","Vegetables","Vegetal Products","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Belarus",3.7563,0.3353,12.7089,0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.072,0.001,0.0067,9.1691,0.1142,4.0155,0,0.1399,0.8804,8.7859,37.2904,26.6,"<2.5",1.13364266666667,0.0107413333333333,0.970645333333333,0.152256,9375000,"%"
"Belgium",5.373,0.8559,17.7279,0.001,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0,0.1309,0.564,6.8161,32.2637,24.5,"<2.5",4.34901432913591,0.113373860182371,0.257498914459401,3.97814155449414,11515000,"%"
"Belize",3.3803,0.0832,8.6856,0,11.07,0.3923,1.0325,12.6094,3.489,3.6317,1.7653,0.0569,0.394,1.1259,0.0195,1.0614,0.0849,3.9798,0,0.034,1.0198,4.7721,41.3122,22.4,"7.5",0.996658711217184,0.0167064439140811,0.564200477326969,0.415751789976134,419000,"%"
"Benin",5.9019,0.0132,3.7504,0,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.145,0.0829,0.6628,0.7367,0.4461,19.7771,0.0042,0.6635,0,0.4028,0.7381,4.1964,46.2493,8.2,"10.1",0.0224834138750102,0.000352199197313457,0.0201982144319764,0.00193300024572037,12209000,"%"
"Bolivia",2.8956,0.0889,11.7799,0,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,0.1661,0.1006,0.1374,0.3654,0.0422,7.7315,0.2083,2.5724,0,0.7084,0.3573,3.2224,38.2165,18.7,"17.1",1.22474856013066,0.0756038854981518,0.98397661824121,0.165168056391301,11633000,"%"
"Bosnia and Herzegovina",4.7876,0.0585,12.4319,0,8.7152,0.2576,0.2465,4.6409,1.8165,9.9443,0.486,0.1089,0.0963,0.2718,0.3922,4.0495,0.3504,1.6391,0,0.0822,0.4205,11.6394,37.5645,19.4,"<2.5",1.90256019506248,0.04602255409936,0.942974702834502,0.913562938128619,3281000,"%"
"Botswana",4.2717,0.3402,14.4486,0,11.432,0.1402,0.3551,2.8465,2.284,11.0217,1.6092,0.3056,0.2019,0.2729,0.1626,4.7614,0.1336,4.7857,9e-04,0.015,1.0065,4.0558,35.5491,16.1,"26.4",0.338152783772119,0.00116529995684074,0.238843331894691,0.098144151920587,2317000,"%"
"Brazil",4.3629,0.2803,17.347,0,8.4292,0.5042,0.5899,6.0936,6.4784,9.3416,6e-04,0.1512,0.7093,0.9254,0.0071,3.3959,0.3024,2.7755,1.0111,0.0513,1.2823,3.307,32.6537,22.3,"<2.5",2.67412375125111,0.0766703491775726,2.43006628519631,0.167387116877231,211812000,"%"
"Bulgaria",7.0834,0.2488,17.2483,0.0103,8.875,0.5924,0.4845,3.9812,4.0073,11.5992,0.2254,0.3058,0.345,0.1512,0.6048,1.8576,0.2818,2.3627,0,0.0797,0.7085,6.2037,32.7435,27.4,"3.6",1.08502959434098,0.0240363793850152,0.352360329146817,0.708632885809153,6927000,"%"
"Burkina Faso",15.3706,0.0231,4.6611,0,21.2005,0.2406,0.7077,0.6596,1.2029,2.3195,0.1373,0.1664,1.8664,1.4294,0.0321,0.9723,0.0211,1.1287,0,0.0712,0.9503,1.5036,45.3359,4.5,"20",0.0122901018992489,0.000320528153853514,0.0113907094675405,0.000578864277854853,20903000,"%"
"Cabo Verde",3.9814,0.0363,9.7559,0.0029,14.7961,0.4602,1.0598,4.6402,3.0725,5.0192,1.119,0.105,0.5394,1.139,0.2731,3.843,0.1671,2.1396,0,0.0258,0.9471,6.6338,40.2437,10.6,"12.6",1.68507194244604,0.0179856115107914,1.52248201438849,0.144604316546763,556000,"%"
"Cambodia",4.5783,0.0377,6.08,0,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,0.4853,0.1211,0.79,0.4903,0.0784,3.0519,0.126,2.9923,0.8367,0.0238,0.2511,3.0072,43.9195,3.5,"16.4",0.00191649996773569,0,0.00185842421113764,5.80757565980512e-05,15497000,"%"
"Cameroon",5.156,0.0146,2.933,0,10.3112,0.0256,1.3206,7.2151,0.876,0.6289,0.0717,0.0673,0.8658,1.4734,0.283,11.3883,0.0234,0.6479,0,0.1324,0.6398,8.859,47.067,9.5,"9.9",0.0842958117151665,0.0016279419505226,0.0808707421610647,0.00179712760357922,26598000,"%"
"Canada",4.8441,0.8084,16.0365,0.006,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,0.6071,0.0097,0.4334,0.6304,0.0574,3.494,0.4053,5.0237,0,0.1439,1.3441,5.4961,33.9551,31.3,"<2.5",0.699562712752029,0.0276904948939513,0.571560617962818,NA,38190000,"%"
"Central African Republic",1.7435,0.1228,6.9032,0,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.0614,0.4338,0.697,0.8936,0.0031,27.7128,0.2008,0.7022,0,0,0.724,1.9214,43.0942,6.3,"59.6",0.101014492753623,0.00128364389233954,0.0398343685300207,0.0598964803312629,4830000,"%"
"Chad",0.8297,0.2023,12.2804,0,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,0.064,1.2256,3.0304,1.4133,0,6.991,0.0087,1.3449,0,0,0.4556,0.9141,37.7189,4.8,"37.5",0.00916632102861883,0.000586597144042188,0.00818865912188185,0.000391064762694792,16877000,"%"
"Chile",4.969,0.1782,15.0394,0.0155,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,0.3024,0.0525,0.2588,0.2677,0.0133,4.7183,0.1353,3.5582,0,0.119,0.5435,5.3092,34.9584,28.8,"2.7",2.67877760657422,0.0746944016435542,2.55475603492553,NA,19470000,"%"
"China",2.3224,0.0866,13.424,0.0542,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,1.3773,0.8643,0.4401,0.0704,0.0364,1.9016,0.1781,3.1065,0.0253,0.2665,0.579,13.099,36.5744,6.6,"8.5",0.00653636483561932,0.000338066935969794,0.00615872246209137,3.95754375581598e-05,1402385000,"%"
"Colombia",3.1032,0.0814,12.821,0,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,0.0776,0.1729,0.2276,0.3503,0.0343,5.0309,0.0057,4.7518,0.028,0.0947,0.9454,3.0981,37.1774,22.1,"4.8",2.31350012134941,0.0663194725345846,2.09951055739827,0.147670091416552,49444000,"%"
"Congo",4.9612,0.0122,6.1258,0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.173,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0,0.0016,0.67,2.552,43.8709,8.4,"40.3",0.307538963392534,0.0073939833272925,0.26685393258427,0.0332910474809714,5518000,"%"
"Costa Rica",1.6982,0.1529,18.677,7e-04,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,0.0274,0.1161,0.2914,0.8354,0.0433,1.5676,0.3181,3.9006,0,0.0397,1.4363,2.9837,31.3238,25.7,"4.8",2.27671688514968,0.0286441009587165,1.39148894541186,0.856583838779104,5111000,"%"
"Cote d'Ivoire",1.4487,0.0132,2.9144,0,11.4585,0.1587,1.3914,4.8741,0.9586,0.1285,0.0163,0.2648,0.6055,0.1727,0.1247,23.308,0.0759,0.7859,0,0.5443,0.8656,2.8098,47.0806,9,"19",0.0795873925501433,0.000481375358166189,0.0783495702005731,0.000756446991404011,26175000,"%"
"Croatia",4.9846,0.2296,17.311,5e-04,5.7726,0.3955,0.9196,3.4094,3.6945,11.8824,0,0.1889,0.3494,0.0373,0.0236,1.8078,0.2458,3.088,0,0.0761,0.3808,12.5188,32.6838,27.1,"<2.5",1.67281094527363,0.0197512437810945,1.26305970149254,0.39,4020000,"%"
"Cuba",2.0589,0.1202,10.0096,0,9.9309,0.5263,0.3368,9.0347,3.2837,5.5971,0.0787,0.1456,0.5346,1.1336,0.0089,5.1555,0.0657,3.1617,0,6e-04,0.4535,8.374,39.9895,26.7,"<2.5",0.0646839819164968,0.00115238010814644,0.0592146086339864,0.00431699317436397,11281000,"%"
"Cyprus",3.4447,0.0277,16.1736,0.0015,7.0646,0.5746,1.8209,6.198,5.3167,8.2744,1.4858,0.1584,0.4089,0.211,0.0307,1.7705,0.2387,4.2194,0,0.1781,1.1937,7.3888,33.8191,22.6,"5.6",0.496023198011599,0.00231980115990058,0.155923777961889,0.337779618889809,1207000,"%"
"Czechia",9.8498,0.8945,17.8065,6e-04,5.6937,0.4964,0.5355,3.3962,4.7618,10.983,0.1099,0.134,0.0949,0.1139,0.0316,3.3991,0.134,3.8081,0,0.0477,0.9854,4.5289,32.1944,28.5,"<2.5",3.87110862262038,0.0453340798805524,2.26884098544233,1.5569335572975,10716000,"%"
"Denmark",4.8866,1.2415,23.2141,0.001,6.7226,0.8206,1.1797,3.1098,3.6804,15.9557,0,0.3347,0.1185,0.0369,0.0774,3.1113,0.4069,2.8728,0,0.1138,0.0915,5.2431,26.7812,21.3,"<2.5",0.954451878538343,0.0127466117687425,0.700205867215646,0.241499399553954,5829000,"%"
"Djibouti",0.3778,0.0579,5.5215,0,20.2702,0.1275,0.4276,3.2735,1.7428,2.9085,1.1831,0.2572,0.0568,1.5724,0.1506,1.8633,0.1309,4.2005,0,0.0406,1.6153,9.7637,44.4582,12.2,"18.9",0.567611336032389,0.00617408906882591,0.555263157894737,0.00617408906882591,988000,"%"
"Dominica",0.941,0.0319,8.9011,0,3.4014,0.1244,1.4188,19.3028,2.782,4.4217,0.6745,0.1219,1.1058,0.2255,0.1512,6.8477,0.2553,3.1738,0,0.0035,0.3797,4.6371,41.0989,28.2,"6.2",0.0875,0,0.0486111111111111,0.0388888888888889,72000,"%"
"Dominican Republic",3.21,0.1122,11.2417,6e-04,6.9232,0.6445,0.6059,18.4431,3.5009,6.1202,0.0906,0.2567,1.1395,0.5881,0.026,2.0198,0.142,2.1332,0,0.0108,1.2948,2.7385,38.7577,26.9,"9.5",1.23982857142857,0.0215714285714286,1.02877142857143,0.189485714285714,10500000,"%"
"Ecuador",3.2929,0.1277,15.3469,0.0328,14.9132,0.6902,0.6893,8.039,4.0115,9.5745,0.1526,0.22,0.1765,0.157,0.0177,2.2701,0.0071,1.737,0,0.016,1.3777,2.4981,34.6522,19.3,"7.9",0.998840728684827,0.0732682313974073,0.884906630118211,0.0406658671692079,17511000,"%"
"Egypt",0.0722,0.0896,6.7374,0,17.5311,0.2307,1.5844,6.9387,1.7583,2.7568,0.0187,0.317,0.6541,0.3063,0.0655,2.6919,0.0863,1.7984,2.0338,0.0268,0.3839,10.6559,43.2622,31.1,"4.5",0.108331101256907,0.00631727230340367,0.099542672341101,0.00247115661240241,100803000,"%"
"El Salvador",2.1651,0.1113,12.888,0,11.7265,0.7533,0.573,5.9517,2.6337,8.7381,0.592,0.0794,1.4273,1.4661,0.0121,2.2462,0.2649,3.526,0,0.0155,0.4565,7.2703,37.1029,22.7,"9",0.542277426323098,0.0155840148125289,0.480975158154606,0.0457182533559636,6481000,"%"
"Estonia",6.1949,0.4556,22.3154,5e-04,6.3498,0.6145,0.7127,3.5061,3.081,17.3068,0.1501,0.1457,0.0518,0.1472,0.0576,3.2403,0.2121,2.3886,0,0.0886,0.3472,4.9558,27.6779,23.8,"2.9",0.460180315552216,0.00563486100676183,0.315026296018032,0.139519158527423,1331000,"%"
"Eswatini",6.2239,0.1024,7.4118,0.0019,14.7814,0.1578,0.3643,8.5537,2.5917,3.9299,0.6695,0.262,0.3005,0.3578,0.1615,5.3187,0.0648,3.1796,0,0.0892,0.3258,2.5701,42.5816,13.5,"20.6",0.54375,0.0105978260869565,0.518478260869565,0.0146739130434783,1104000,"%"
"Ethiopia",2.4543,0.0276,5.2956,0,22.0779,0.0594,0.0608,1.1774,0.7462,4.2647,0.018,0.1382,0.2322,3.0195,0.4298,11.2918,0.2957,1.317,0,0.0802,0.4699,1.8449,44.6989,3.6,"20.6",0.0867372689616764,0.00132531588290577,0.052008423544154,0.0334035295346166,114916000,"%"
"Fiji",1.8598,0.2922,7.8511,0.0021,10.144,0.2682,2.3832,2.1636,3.0004,1.7421,0.2586,0.1642,4.3799,0.7746,0.05,7.8599,0.1238,9.7259,0,0.0157,0.8683,3.9255,42.1469,30,"3.7",0.00379464285714286,0.000223214285714286,0.00345982142857143,0.000111607142857143,896000,"%"
"Finland",4.5004,0.519,26.8865,0,5.1978,0.3979,1.5306,3.1864,3.4915,20.8378,0.7944,0.1097,0.0883,0.0533,0.0168,2.7671,0.545,1.8388,0,0.046,0.2468,3.8325,23.1132,24.9,"<2.5",0.321884608428287,0.00654729607523964,0.229697956230783,0.0856393561222644,5529000,"%"
"France",4.1631,0.7907,21.7097,0.0011,6.9951,0.611,1.8214,4.878,4.4005,13.784,0.1918,0.301,0.1479,0.0991,0.0164,2.6963,0.2925,2.611,0,0.2093,0.8675,5.1223,28.2903,23.2,"<2.5",2.82597320603634,0.0623498614105328,0.20649060671389,2.55713273791192,64940000,"%"
"French Polynesia",4.6997,0.0309,14.3585,0.0169,7.6479,0.5386,3.4809,4.3512,7.0798,2.9364,3.2613,0.2748,3.1818,0.1452,0.0111,3.5436,0.126,2.8715,0.6809,0.0405,0.9675,4.0992,35.6559,NA,"4.2",NA,NA,NA,NA,280000,"%"
"Gabon",6.1881,0.0109,8.1825,0,9.1158,0.0701,2.2578,9.0341,4.32,0.9486,0.4751,0.5758,0.8509,0.0139,0.0015,11.8727,0.0212,1.2508,0.1248,0.0051,0.4824,2.3979,41.8004,13.4,"10.5",0.404392649036307,0.0024652622142537,0.397938144329897,0.00398924249215598,2231000,"%"
"Gambia",2.8419,0.0114,10.1417,0,21.8908,0.2008,3.9197,0.8742,1.1134,4.8167,0.9824,0.0812,3.1637,0.1281,0.0043,0.8614,0.2719,4.1176,0,0.0897,2.2026,2.4575,39.8291,8.7,"10.2",0.152420355812991,0.00500620604054613,0.146172941663219,0.00124120810922631,2417000,"%"
"Georgia",2.5343,0.2356,15.5347,0,15.6253,0.5032,0.6622,3.1735,2.6217,11.3605,0.7882,0.1507,0.084,0.0025,0.0247,3.7542,0.2397,3.311,0,0.1631,0.668,4.0993,34.4636,23.3,"7.9",1.55458950201884,0.01278600269179,1.14594885598923,0.39585464333782,3715000,"%"
"Germany",6.7714,0.6715,20.8485,0.0011,6.0363,0.5947,0.6758,3.6131,4.6524,14.1789,0,0.0747,0.1701,0.0419,0.0429,3.5712,0.3493,2.507,0,0.1903,0.8104,5.0542,29.1443,25.7,"<2.5",0.819476590636255,0.0136518607442977,0.505583433373349,0.300241296518607,83300000,"%"
"Ghana",0.9444,0.0088,2.8956,0,6.323,0.0705,1.4992,10.4274,0.8069,0.4178,0.1657,0.0917,0.7957,0.392,0.238,24.6325,0.0053,0.8128,0.2815,0.0364,0.3655,1.6849,47.1041,9.7,"5.5",0.158021433398771,0.00102983297396454,0.153593151610723,0.00339844881408297,31073000,"%"
"Greece",2.2879,0.2116,17.6914,5e-04,7.2801,0.4539,1.026,6.3296,3.7836,12.0221,0.0596,0.1947,0.8112,0.2539,0.0243,3.1307,0.256,1.7744,0,0.6676,1.5237,7.9134,32.3038,27.4,"<2.5",0.52988785046729,0.00732710280373832,0.215644859813084,0.306915887850467,10700000,"%"
"Grenada",3.1315,0.1276,12.1319,0.0019,7.6569,0.9226,2.5802,11.0608,5.6546,2.7183,1.2873,0.1266,1.3768,0.6417,0.3171,2.2222,0.1104,5.448,0,0.0143,0.9959,3.6085,37.8648,20.2,NA,0.0283185840707965,0,0.0238938053097345,0.00442477876106195,113000,"%"
"Guatemala",1.7037,0.0957,10.3765,0,15.1579,1.4676,0.2807,6.7124,3.9589,4.4093,0.0348,0.1632,0.5276,1.6504,0.0403,1.3316,0.2872,5.3058,0,0.198,0.8747,5.7997,39.624,18.8,"15.2",0.615864054024134,0.0211502269456438,0.559808480017713,0.0349053470607772,18066000,"%"
"Guinea",0.311,0.0213,3.8776,0,17.2911,0.1648,0.8939,7.9395,1.1561,1.4724,0.2312,0.1692,0.9506,0.3925,0,11.7958,0.1196,1.3368,0,9e-04,1.3271,4.4286,46.1202,6.6,"16.5",0.0988375796178344,0.000589171974522293,0.0861226114649681,0.0121257961783439,12560000,"%"
"Guinea-Bissau",2.4603,0.0423,4.9295,0,21.6069,0.1038,0.1666,6.366,2.2155,2.1899,0.5331,0.2114,0.328,0.2499,0.0013,8.1087,0.0167,0.7893,0,0.4485,1.8016,2.3642,45.0666,8.2,"28",0.125272444213804,0.00217955371043072,0.0966268811624287,0.0264660093409445,1927000,"%"
"Guyana",1.8708,0.0206,9.1155,0,9.7847,0.1038,1.7011,5.7954,2.5237,4.7277,0.3516,0.0385,1.8367,0.3907,0.1942,1.8384,0.0742,3.2325,0,0.0435,0.2779,15.2061,40.8722,19.2,"8.1",0.573570520965692,0.0170266836086404,0.448030495552732,0.10851334180432,787000,"%"
"Haiti",1.2733,0.0402,3.5986,0,13.4196,0.0525,0.5064,12.0278,1.9687,0.8765,0.3309,0.1532,0.4829,2.0067,0.0022,11.48,0.3801,2.0961,0,0,0.8742,2.0302,46.3997,20.5,"49.3",0.0800403402613347,0.0020345523107954,0.0668069806191353,0.011198807331404,11403000,"%"
"Honduras",2.0662,0.1378,13.6048,0,14.1699,0.4601,0.3339,6.8464,3.508,9.0154,0.6923,0.1505,0.1749,1.3962,0.0138,0.6796,0.4686,5.9591,0,0.0276,1.2467,2.6599,36.3883,19.4,"12.9",1.01420316301703,0.0278284671532847,0.434053122465531,0.552321573398216,9864000,"%"
"Hungary",6.7533,1.0595,20.0268,7e-04,7.5908,0.8885,0.4113,3.0852,5.2042,12.4568,0.0039,0.0052,0.0679,0.1906,0.1802,3.046,0.1031,2.5433,0,0.0183,0.7214,5.6788,29.9644,28.6,"<2.5",1.12230981877752,0.0249616054059588,0.256680659363162,0.840667554008396,9767000,"%"
"Iceland",4.7545,0.9461,23.97,0.0025,4.1196,0.5557,4.6117,4.8405,4.6269,13.0028,1.4022,0.2232,0.1759,0.0376,0.0676,1.9909,0.4626,3.9472,0,0.0752,0.4667,3.6874,26.0331,23.1,"<2.5",1.37989130434783,0.00543478260869565,1.20190217391304,0.172554347826087,368000,"%"
"India",0.1959,0.0028,11.3357,0,17.3821,0.3061,0.6499,5.4333,0.356,9.9889,0,0.0311,0.728,1.5709,0.3268,2.7906,0.0753,1.7471,0,0.1526,0.7487,7.5213,38.6568,3.8,"14.5",0.610931862009856,0.0090429969287908,0.565486250982073,0.0364026140989929,1400100000,"%"
"Indonesia",0.0794,0.0309,6.2575,9e-04,24.3918,0.4911,3.9386,5.5134,1.0316,0.5943,0.0026,0.1702,2.2113,0.0988,0.1508,4.6343,0.0406,1.8481,0,0.0564,0.8579,3.8558,43.7438,6.9,"8.3",0.161079565318191,0.0053779545814182,0.13553372905619,0.0201678816805832,271739000,"%"
"Iran (Islamic Republic of)",7e-04,0.5369,7.9295,0.002,14.0141,0.4916,0.7813,7.9235,2.3965,3.5808,7e-04,0.1405,0.054,0.4729,0.0559,3.2877,0.1299,2.198,0,0.6421,0.7706,12.5207,42.0701,25.5,"4.9",0.811035056446821,0.0455032679738562,0.618335115864528,0.147196672608437,84150000,"%"
"Iraq",0.1915,0.0423,6.2809,0,24.0855,1.2467,0.445,6.4975,2.5171,1.9902,0.3975,0.0396,0.3037,0.4807,0.0304,1.0842,0.1783,3.3755,0,0.1268,2.0139,4.9563,43.7165,27.4,"29",1.25500062932662,0.0285135305223411,1.07974323473883,0.14674386406545,39725000,"%"
"Ireland",7.5703,0.871,18.5712,5e-04,6.3057,0.4653,1.1942,3.3996,4.0102,11.9469,0.2951,0.0831,0.1733,0.1325,0.0362,3.5362,0.1855,4.0147,0,0.0836,0.7497,4.951,31.4242,26.9,"<2.5",1.30709574255447,0.038916650009994,0.466999800119928,0.801179292424545,5003000,"%"
"Israel",1.2876,0.1026,18.7463,0.0017,7.6277,0.5664,1.4696,6.3746,5.5003,10.9066,0.2602,0.2007,0.5233,0.364,0.0278,1.9975,0.2619,1.7747,0,0.2262,1.6743,8.8586,31.2472,26.7,"<2.5",3.46398654513889,0.0290147569444444,3.34812282986111,0.0868489583333333,9216000,"%"
"Italy",3.1892,0.2834,19.0329,5e-04,8.5417,0.6247,1.5816,6.0207,4.2963,12.1258,0.0403,0.1194,0.1836,0.2781,0.0064,1.9043,0.2946,1.7175,0,0.423,1.4224,6.9463,30.9671,22.9,"<2.5",1.55085577816107,0.0686513201539074,0.55571513864933,0.926489319357835,60296000,"%"
"Jamaica",2.4636,0.2074,11.9958,0.0074,8.5031,0.1457,1.8692,8.0661,4.3372,5.217,0.6952,0.2111,0.999,0.2177,0.3752,4.5837,0.1677,4.6889,0,0.011,0.7584,6.4772,38.0023,24.4,"8",0.338412246351015,0.00786756852972588,0.17564969740121,0.154894980420078,2809000,"%"
"Japan",4.044,0.0751,15.3194,0.1088,12.1692,1.696,3.9283,2.8618,4.2599,5.063,0.2962,0.1883,0.7737,0.1287,0.1036,2.2072,0.3731,2.2055,0.228,0.0812,1.3445,7.8669,34.6776,4.4,"<2.5",0.0860495209062691,0.00144561670913811,0.0765517953114705,0.00805210888566053,125967000,"%"
"Jordan",0.0846,0.1162,9.3186,0,14.138,0.3344,0.5985,4.6624,3.8651,4.2637,0.3579,0.1397,0.728,0.6393,0.0469,2.1431,0.3742,4.7276,0,0.1652,1.9861,10.6308,40.6798,33.4,"12.2",1.0237007210413,0.0115460249086993,0.0824796329244311,0.929675063208166,10679000,"%"
"Kazakhstan",2.1919,0.3611,19.1598,0,6.5119,0.4584,0.2393,3.2145,3.4501,14.3591,0.2967,0.2914,0.1154,0.0255,0.0106,5.4755,0.1319,1.456,0,0.0845,1.1215,10.2055,30.8394,21.3,"<2.5",0.623382447149263,0.00991351697629725,0.575715353405936,0.0377535767670297,18732000,"%"
"Kenya",1.9664,0.1175,11.4394,0,15.1221,0.1447,0.4329,4.6941,1.7336,8.7987,0.025,0.211,0.2686,1.751,0.0174,7.5828,0.223,1.8098,0,0.0892,0.6689,4.345,38.5589,6,"29.4",0.116738903004035,0.00207554924525482,0.0783347033328351,0.0363286504259453,53528000,"%"
"Kiribati",0.297,0.0486,8.8958,0,8.2747,0.164,6.1065,5.8907,2.3856,0.1561,0.5104,0.035,9.9946,0.0032,0.0064,7.183,0.0311,4.1373,0,0.1951,0.4419,4.1389,41.1042,45.6,"2.7",NA,NA,NA,NA,125000,"%"
"Korea, North",0.8981,0.001,3.3933,0.001,17.9378,0.4668,1.1568,6.1383,1.3872,0.3146,0.069,0.066,0.209,1.1,0,6.2438,0.0142,0.3694,0,0.0426,0.7783,12.8082,46.6046,7.1,"47.8",NA,NA,NA,NA,25779000,"%"
